DECINDR,Mujeres,Varones
1,0.682424555550694,0.317575444449306
2,0.616906479132599,0.383093520867401
3,0.6167955982609822,0.3832044017390178
4,0.5071801738730142,0.4928198261269858
5,0.512734475558308,0.487265524441692
6,0.5114341350177579,0.4885658649822421
7,0.4254328253706014,0.5745671746293987
8,0.40759701874277104,0.592402981257229
9,0.40410422241153815,0.5958957775884619
10,0.3401363929017182,0.6598636070982817
